Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,2019-05-09,6405,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,12,,,Non-Networked,,GPS,33.91115,-117.4591,2019-12-12,6425,2019-12-30 16:59:34 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,16,,,Non-Networked,,200-8,34.14762,-118.147111,2019-05-09,6505,2019-05-14 21:16:45 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-8,34.145015,-118.152223,2019-05-09,6506,2019-05-14 21:16:45 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-8,34.144506,-118.150015,2019-05-09,6507,2019-05-14 21:16:45 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Pasadena Hilton,150 S Los Robles,Located at valet and self parking,Pasadena,CA,91101,,626-577-1000,E,,Public,24 hours daily; for guest use only,,,,,,4,,,EV Connect,https://www.evconnect.com,200-9,34.142973,-118.140553,2019-06-06,6508,2019-06-06 17:52:59 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Bristol Farms,606 Fair Oaks Ave,,South Pasadena,CA,91030,,626-441-5450,E,,Public,24 hours daily,,,,,,,,1 LP Inductive,Non-Networked,,200-9,34.118433,-118.149597,2019-05-09,6509,2019-05-14 21:16:45 UTC,P,,,,,,,,,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Non-Networked,,GPS,33.7637,-118.192,2019-09-09,7172,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,Non-Networked,,GPS,33.94325,-118.403342,2019-09-09,7184,2019-09-09 14:29:53 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Northridge Fashion Center,9301 Tampa Ave,Located at Tampa & Nordhoff,Northridge,CA,91324,,818-885-9700,E,,Public,6am-12am daily,,,,,,10,,,Volta,https://www.shell.us/motorist/electric-vehicle-charging.html,200-9,34.237946,-118.555646,2018-05-03,7192,2019-12-30 16:53:33 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,SOLAR,,,,,,,,,,,
ELEC,Ontario Airport Hilton,700 N Haven Ave,,Ontario,CA,91764,,909-980-0400,E,,Public,24 hours daily; guest use only,,,,,,1,,,Non-Networked,,GPS,34.07122,-117.575,2019-09-09,7194,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,,Oxnard,CA,93030,,805-988-3600,E,,Public,24 hours daily; guest use only,,,,,,2,,,Non-Networked,,GPS,34.22935,-119.173,2019-09-09,7195,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,,Palm Springs,CA,92262,,760-320-6868,E,,Public,24 hours daily; pay lot; priority given to registered guests,,,,,,1,,,Non-Networked,,GPS,33.823353,-116.5436,2019-09-09,7196,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,East Bay Mini,4340 Rosewood Dr,,Pleasanton,CA,94588,,925-251-7070,E,,Public,Dealership business hours,,,,,,2,,,Non-Networked,,200-8,37.700187,-121.876172,2019-10-04,7197,2019-10-04 14:44:17 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,CNTYOFRIVERSIDE,3535 12th Street,"12TH ST PRKNG#1; -
12TH ST PRKNG#2; -
12TH ST PRKNG#3; Near main entrance off 12th street
12TH ST PRKNG#4; Near main entrance off 12th street",Riverside,CA,92501,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,https://www.chargepoint.com,200-8,33.977163,-117.374653,2019-12-30,7205,2019-12-30 10:12:32 UTC,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $2 per additional hour, $0.34 per kWh",,,,,,,,,,,,,,,,,,,,
ELEC,Inland Empire Foods,5425 Wilson St,,Riverside,CA,92509,,951-682-8222,E,,Public,"24 hours M-Th, 12am-4:30pm F",,,,,,3,,,Non-Networked,,GPS,34.0189,-117.38,2019-11-08,7206,2019-11-12 20:53:55 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,,Sacramento,CA,95837,,916-874-0670,E,,Public,24 hours daily; pay lot,,,,,,4,,1 SP Inductive,Non-Networked,,GPS,38.69005,-121.58889,2019-09-09,7212,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,200-9,34.017563,-118.447475,2019-04-08,7229,2019-05-14 21:16:45 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,SOLAR,,,,,,,,,,,
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-9,34.010021,-118.49583,2019-04-08,7230,2019-05-14 21:16:45 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Westfield Fashion Square,14006 Riverside Dr,"level 1 of the Parking Garage near the main entrance, located across from 85°C Bakery Cafe",Sherman Oaks,CA,91423,,818-783-0550,E,,Public,6am-12am daily,,,,,,4,,,Volta,https://www.shell.us/motorist/electric-vehicle-charging.html,200-9,34.156943,-118.435252,2019-11-08,7233,2019-12-30 17:21:00 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Temecula - 6th Street Lot,28462 Front St,Mercedes Street,Temecula,CA,92590,,951-694-6411,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,33.49605,-117.152,2019-08-08,7236,2019-08-08 15:38:00 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,,Universal City,CA,91608,,818-506-2500,E,,Public,24 hours daily; pay lot; see valet for access,,,,,1,,,,Non-Networked,,200-8,34.138717,-118.35904,2019-09-09,7242,2019-09-09 14:29:53 UTC,P,,,,,,,,NEMA520,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,,Van Nuys,CA,91405,,800-371-5465,E,,Public,24 hours daily,,,,,,4,,,EV Connect,https://www.evconnect.com,200-8,34.21108,-118.448704,2019-05-09,7245,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,33.94756,-118.153806,2019-02-06,7250,2019-05-14 21:16:45 UTC,T,,,,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Lancaster - City Hall,44933 Fern Ave,Located in the north side parking lot under the solar sun shade parking.,Lancaster,CA,93534,,661-723-6000,E,,Public,24 hours daily,,,,,,5,,,Non-Networked,,200-9,34.698914,-118.145218,2019-02-06,7275,2019-05-14 21:16:45 UTC,T,,,,,,,,J1772 TESLA,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,SOLAR,,,,,,,,,,,
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,,San Francisco,CA,94133,,415-563-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Non-Networked,,GPS,37.80619,-122.4152,2019-09-09,7280,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Japan Center Garage,1610 Geary Blvd,Garage Level 1,San Francisco,CA,94115,,415-567-4573,E,,Public,24 hours daily; pay lot,,,,,,,,1 SP Inductive,Non-Networked,,GPS,37.784912,-122.430237,2019-05-09,21351,2019-05-14 21:16:45 UTC,LG,,,,,,,,,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Saint Mary's Square Garage,433 Kearny St,"At Pine St, Level 4",San Francisco,CA,94104,,415-956-8106,E,,Public,24 hours daily; pay lot,,,,,,,,1 SP Inductive,Non-Networked,,200-8,37.792058,-122.404312,2019-11-08,21354,2019-11-08 19:38:10 UTC,LG,,,,,,,,,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Palace Hotel,2 New Montgomery St,,San Francisco,CA,94105,,415-512-1111,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,37.78881,-122.401,2019-09-09,21358,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$7 per session,,,,,,,,,,,,,,,,,,,,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,94108,,415-392-3434,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Non-Networked,,200-8,37.791791,-122.411265,2019-09-09,21360,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Ellis O'Farrell Garage,123 O'Farrell St,At Powell Street,San Francisco,CA,94102,,415-986-4800,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-9,37.786061,-122.407088,2019-05-09,21367,2019-05-14 21:16:45 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Hotel Sofitel,8555 Beverly Blvd,,Los Angeles,CA,90048,,310-278-5444,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,2,,,Non-Networked,,GPS,34.07631,-118.377,2019-09-09,21368,2019-09-09 14:29:53 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Music Center Parking - Level 2,135 N Grand Ave,"Music Center Parking Lot 14, level 2",Los Angeles,CA,90012,,213-972-7211  323-267-2023,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,2,,,Non-Networked,,200-9,34.055974,-118.248893,2019-12-12,21374,2019-12-12 21:27:03 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Balboa Golf Course,16821 Burbank Blvd,,Encino,CA,91436,,818-995-1170,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,34.169242,-118.497212,2019-02-06,21383,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Tops Auto Park Garage,6464 Sunset Blvd,,Hollywood,CA,90028,,,E,,Public - Call ahead,Primarily for permit holder; public use will be charged extra,,,,,,4,,,Non-Networked,,GPS,34.097928,-118.331,2019-12-12,21388,2019-12-12 21:27:03 UTC,P,,,,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,PARKING_GARAGE,,,,,,,Free for first 30 minutes; $10 after first 30,,,,,,,,,,,,,,,,,,,,
ELEC,California State University - Northridge,18111 Nordhoff St,Lot G9 structure; Near Zelzah and Kenzie second level parking,Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,Non-Networked,,GPS,34.248959,-118.523887,2019-06-06,21395,2019-06-06 17:52:59 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,California State University - Northridge,18111 Nordhoff St,"Lot B4; Prairie St, near Darby Ave",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,Non-Networked,,GPS,34.241687,-118.528543,2019-06-06,21396,2019-06-06 17:52:59 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,California State University - Northridge,18111 Nordhoff St,"Surface lot B2; West side of Etiwanda, South of Prairie",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,4,,,Non-Networked,,GPS,34.236853,-118.532588,2019-06-06,21397,2019-06-06 17:52:59 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Northridge Metrolink Station,8775 Wilbur Ave,,Northridge,CA,91324,,866-816-7584  800-371-5465,E,,Public,24 hours daily,,,,,,4,,,EV Connect,https://www.evconnect.com,200-8,34.229277,-118.544827,2019-06-06,21398,2019-06-06 17:52:59 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,,San Pedro,CA,90731,,310-732-7678,E,,Public,8am-5pm daily,,,,,,4,,,Non-Networked,,200-9,33.740758,-118.28192,2019-11-08,21402,2019-11-08 19:38:10 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,City of Los Angeles - Constituent Service Center,8475 S Vermont Ave,,Los Angeles,CA,90044,,213-485-7616,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,33.961256,-118.29187,2019-03-07,21405,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Sylmar Metrolink Station,Village Way Dr,,San Fernando,CA,91342,,866-816-7584  818-237-7641,E,,Public,24 hours daily,,,,,,4,,,EV Connect,https://www.evconnect.com,GPS,34.2924134,-118.4497914,2019-06-06,21414,2019-06-06 17:52:59 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
